iter	Passed	Remaining
0	154	30106
1	158	15386
2	162	10482
3	168	8084
4	172	6579
5	176	5582
6	179	4858
7	185	4362
8	189	3937
9	193	3594
10	197	3314
11	201	3085
12	204	2882
13	208	2711
14	212	2568
15	216	2438
16	220	2324
17	224	2219
18	228	2131
19	233	2051
20	237	1975
21	240	1901
22	244	1835
23	247	1775
24	251	1716
25	254	1662
26	257	1613
27	261	1567
28	265	1526
29	268	1486
30	272	1448
31	275	1412
32	279	1381
33	283	1349
34	286	1318
35	289	1288
36	293	1262
37	296	1234
38	299	1206
39	302	1181
40	305	1156
41	309	1134
42	313	1114
43	316	1094
44	320	1075
45	324	1056
46	328	1039
47	331	1023
48	335	1006
49	339	990
50	342	974
51	346	958
52	349	943
53	353	928
54	356	914
55	361	902
56	364	889
57	367	875
58	372	865
59	377	854
60	383	848
61	391	846
62	395	835
63	399	824
64	404	815
65	409	805
66	413	795
67	417	785
68	422	778
69	427	770
70	432	761
71	437	753
72	442	745
73	447	738
74	452	730
75	457	722
76	462	714
77	470	711
78	474	702
79	478	693
80	482	684
81	486	676
82	490	667
83	494	659
84	500	653
85	504	645
86	513	643
87	518	636
88	522	628
89	526	620
90	533	615
91	537	608
92	542	601
93	548	594
94	553	588
95	558	581
96	563	575
97	570	570
98	576	565
99	614	589
100	619	583
101	625	576
102	631	570
103	636	563
104	642	556
105	647	550
106	652	542
107	657	536
108	662	528
109	668	522
110	673	515
111	678	509
112	684	502
113	690	496
114	695	490
115	700	483
116	705	476
117	710	469
118	714	462
119	719	455
120	724	449
121	728	441
122	732	435
123	738	428
124	742	421
125	746	414
126	751	408
127	756	401
128	760	395
129	764	388
130	769	381
131	773	374
132	780	369
133	787	364
134	792	358
135	799	352
136	808	348
137	815	342
138	825	338
139	832	332
140	839	327
141	847	322
142	853	316
143	859	310
144	865	304
145	870	298
146	875	291
147	882	286
148	887	280
149	894	274
150	900	268
151	905	262
152	912	256
153	918	250
154	923	244
155	930	238
156	934	232
157	938	225
158	945	220
159	958	215
160	963	209
161	968	203
162	975	197
163	982	191
164	986	185
165	994	179
166	999	173
167	1004	167
168	1010	161
169	1015	155
170	1022	149
171	1028	143
172	1033	137
173	1040	131
174	1045	125
175	1050	119
176	1056	113
177	1061	107
178	1065	101
179	1071	95
180	1077	89
181	1082	83
182	1088	77
183	1093	71
184	1099	65
185	1104	59
186	1112	53
187	1118	47
188	1123	41
189	1127	35
190	1133	29
191	1137	23
192	1142	17
193	1148	11
194	1153	5
195	1158	0
